"Key","SourceString"
"Game.Title","Brazil Defense"
"Splash.Brand","Golias Indie Games"
"Splash.SkipHint","Press any key"
"Loading.Label","Loading..."
"Menu.Play","Play"
"Menu.Continue","Continue"
"Menu.Options","Options"
"Menu.Quit","Quit"
"Difficulty.Title","Difficulty"
"Difficulty.Easy","Easy"
"Difficulty.Normal","Normal"
"Difficulty.Hard","Hard"
"Difficulty.Won","· won"
"Difficulty.Summary","{Waves} waves · frees {Prisoners} · {Funds} public funds to start · {Dividers} dividers · {Platforms} platforms · {Saves} saves"
"Difficulty.BonusIn","Bonus from {Below} in"
"Difficulty.BonusLocked","Win {Below} for a bonus"
"Difficulty.Back","Back"
"Language.English","English"
"Language.Portuguese","Portuguese"
"Options.Title","Options"
"Options.Graphics","Graphics"
"Options.Audio","Audio"
"Options.Language","Language"
"Options.Quality","Quality"
"Options.Quality.Auto","Auto"
"Options.Quality.Low","Low"
"Options.Quality.Medium","Medium"
"Options.Quality.High","High"
"Options.Quality.Epic","Epic"
"Options.Resolution","Resolution"
"Options.Resolution.Display","Display resolution"
"Options.WindowMode","Window"
"Options.Window.Fullscreen","Fullscreen"
"Options.Window.Windowed","Windowed"
"Options.Window.Borderless","Borderless"
"Options.VSync","V-Sync"
"Options.MusicVolume","Music volume"
"Options.EffectsVolume","Effects volume"
"Options.Muted","Mute"
"Options.Controls","Controls"
"Options.InvertSideways","Invert camera A / D"
"Options.LanguageSelect","Language"
"Options.Back","Back"
"HUD.Score.Blue","BLUE {Votes}"
"HUD.Score.Red","RED {Votes}"
"HUD.Score.Null","NULL {Votes}"
"HUD.Money.Bribe","BRIBE {Amount}"
"HUD.Money.Public","PUBLIC FUNDS {Amount}"
"HUD.Wave.NoMatch","No match"
"HUD.Wave.Setup","Preparing the board"
"HUD.Wave.Building","Wave {Wave} · building · next in {Seconds}s"
"HUD.Wave.Frozen","(frozen)"
"HUD.Wave.Active","Wave {Wave} · in progress"
"HUD.Wave.ToSend","· to send: {Count}"
"HUD.Wave.Defeat","DEFEAT on wave {Wave}"
"HUD.Wave.Victory","VICTORY on wave {Wave}"
"HUD.Speed","Speed"
"HUD.Speed.Button","{Speed}x"
"HUD.Pause.Button","II Pause (P)"
"HUD.Pause.Resume","> Resume (P)"
"HUD.Pause.Line","PAUSED - look and plan, P resumes"
"HUD.Kills.Candidates","Candidates"
"Enemy.DA_Enemy_Test","Militants"
"HUD.Mouths","Mouths: {Mouths}"
"HUD.Mouths.None","—"
"HUD.Clock","{Phase} · {Time}"
"Day.Sunrise","Sunrise"
"Day.Day","Day"
"Day.Sunset","Sunset"
"Day.Dusk","Dusk"
"Day.Night","Night"
"HUD.Candidate.Notice","THE CANDIDATE IS OUT"
"HUD.Candidate.Health","{Name}  HP {Health}/{MaxHealth}"
"HUD.Candidate.Frozen","COUNT FROZEN  {Seconds}s"
"HUD.Candidate.Return","THE FALLEN RETURN · {Count} left"
"HUD.Candidate.More","+{Count} more coming"
"HUD.End.Prisoners","{Count} prisoner(s) freed"
"HUD.End.Score","Blue {Blue} vs Red {Red}"
"HUD.End.Endless","Keep playing (endless)"
"HUD.End.MainMenu","Main menu"
"HUD.Save","Save ({Count})"
"HUD.Build","Build  (1-9, U for the urn)"
"HUD.Build.Urn","Urn"
"HUD.Build.Entry","{Key} · {Name}"
"HUD.Build.Info","{Left} · {Cost}"
"HUD.Build.Cost","{Cost}"
"HUD.Build.Hand","{Left} in hand"
"HUD.Build.Locked","Unlocks after wave {Wave}"
"HUD.Build.NoFunds","Costs {Cost}"
"Piece.DA_Objective","Urn"
"Piece.DA_Divider","Divider"
"Piece.DA_Palanque","Stage"
"Piece.DA_Truck","Truck"
"Piece.DA_Bleachers","Bleachers"
"Piece.DA_Tower","Turret"
"Piece.DA_Character","Shooter"
"Piece.DA_Tower_Test","Test turret"
"Piece.DA_Character_Test","Test shooter"
"HUD.End.Load","Load save"
"HUD.Result.Money","Public funds {Money} → {After}"
"HUD.Result.MoneyShort","Not enough public funds: {Money} of {Cost}, {Missing} short"
"HUD.Defender.Name","{Name} · level {Level}"
"HUD.Defender.Stats","Damage {Damage} · range {Range} cells · {FireRate} shots/s"
"HUD.Defender.Upgrade","Evolve to level {NextLevel} ({Cost} public funds) · damage {NextDamage}"
"HUD.Defender.MaxLevel","Level {MaxLevel}: fully evolved"
"HUD.Defender.BlockedSlots","The platform has {Slots} empty slot(s): nobody on it evolves until every slot is filled"
"HUD.Defender.BlockedStep","The platform climbs as a block: its shooters at level {Block} evolve first"
"HUD.Defender.Sell","Sell (+{Refund} public funds)"
"HUD.Defender.SellEvolved","Sell (+{Refund} for the piece, +{Money} for its levels)"
"HUD.Placement.Placing","Placing: {Name}"
"HUD.Placement.Moving","Moving: {Name}"
"HUD.Placement.Info","Cost {Cost} · footprint {Footprint}"
"HUD.Placement.InfoEdge","Divider · fence of {Footprint} edge(s)"
"HUD.Placement.MoveCost","Move costs {Cost} · {Result}"
"HUD.Placement.BuildCost","Costs {Cost} · {Result}"
"HUD.Placement.FromHand","From the divider hand: {Left} left"
"HUD.Placement.Cancel","Cancel"
"Refusal.None",""
"Refusal.NoSelection","Nothing selected"
"Refusal.NotHoveringGrid","Point at the board"
"Refusal.MatchRefused","Not allowed in this phase"
"Refusal.NoBudgetLeft","None left to place"
"Refusal.OffGrid","Outside the board"
"Refusal.CellTaken","Cell already taken"
"Refusal.EdgeOnBorder","Cannot fence the border"
"Refusal.EdgeTaken","There is already a fence here"
"Refusal.WouldBlockPath","Would block every path to the urn"
"Refusal.ObjectiveMissing","Place the urn first"
"Refusal.ObjectiveOutOfZone","The urn goes in its zone"
"Refusal.SlotTaken","Slot already taken"
"Refusal.TowerCannotGoOnSlot","Towers go on the ground"
"Refusal.CharacterNeedsPlatform","Characters need a platform"
"Refusal.CannotAffordMove","Not enough public funds to move"
"Refusal.NoFunds","Not enough public funds"
"Refusal.NoFreeSlot","No platform with a free slot"
"Refusal.NotUnlocked","Not unlocked yet"
"HUD.Menu","Menu"
"Pause.Title","Paused"
"Pause.Continue","Continue"
"Pause.MainMenu","Main menu"
