"Key","SourceString"
"Game.Title","Brazil Defense"
"Splash.Brand","Golias Indie Games"
"Splash.SkipHint","Pressione qualquer tecla"
"Loading.Label","Carregando..."
"Menu.Play","Jogar"
"Menu.Options","Opções"
"Menu.Quit","Sair"
"Language.English","Inglês"
"Language.Portuguese","Português"
"Options.Title","Opções"
"Options.Graphics","Gráficos"
"Options.Audio","Áudio"
"Options.Language","Idioma"
"Options.Quality","Qualidade"
"Options.Quality.Auto","Automático"
"Options.Quality.Low","Baixa"
"Options.Quality.Medium","Média"
"Options.Quality.High","Alta"
"Options.Quality.Epic","Épica"
"Options.Resolution","Resolução"
"Options.Resolution.Display","Resolução do monitor"
"Options.WindowMode","Janela"
"Options.Window.Fullscreen","Tela cheia"
"Options.Window.Windowed","Janela"
"Options.Window.Borderless","Sem borda"
"Options.VSync","V-Sync"
"Options.MusicVolume","Volume da música"
"Options.EffectsVolume","Volume dos efeitos"
"Options.Muted","Mudo"
"Options.LanguageSelect","Idioma"
"Options.Back","Voltar"
"HUD.Score.Blue","AZUL {Votes}"
"HUD.Score.Red","VERMELHO {Votes}"
"HUD.Wave.NoMatch","Sem partida"
"HUD.Wave.Setup","Preparando o tabuleiro"
"HUD.Wave.Building","Onda {Wave} · montagem · próxima em {Seconds}s"
"HUD.Wave.Frozen","(congelado)"
"HUD.Wave.Active","Onda {Wave} · em curso"
"HUD.Wave.ToSend","· a sair: {Count}"
"HUD.Wave.Defeat","DERROTA na onda {Wave}"
"HUD.Wave.Victory","VITÓRIA na onda {Wave}"
"HUD.Speed","Velocidade"
"HUD.Speed.Button","{Speed}x"
"HUD.Mouths","Bocas: {Mouths}"
"HUD.Mouths.None","—"
"HUD.Candidate.Notice","O CANDIDATO SAIU"
"HUD.Candidate.Health","CANDIDATO  HP {Health}/{MaxHealth}"
"HUD.Candidate.Frozen","APURAÇÃO CONGELADA  {Seconds}s"
"HUD.Result","Azul {Blue} → {After} vs Vermelho {Red}"
"HUD.Result.Inverts","Azul {Blue} → {After} vs Vermelho {Red} — VERMELHO PASSA NA FRENTE"
"HUD.Defender.Name","{Name} · nível {Level}"
"HUD.Defender.Stats","Dano {Damage} · alcance {Range} células · {FireRate} tiros/s"
"HUD.Defender.Upgrade","Melhorar para nível {NextLevel} ({Cost} votos) · dano {NextDamage}"
"HUD.Defender.MaxLevel","Nível máximo"
"HUD.Defender.Sell","Vender (+{Refund} votos)"
"HUD.Placement.Placing","Colocando: {Name}"
"HUD.Placement.Moving","Movendo: {Name}"
"HUD.Placement.Info","Custo {Cost} · área {Footprint}"
"HUD.Placement.InfoEdge","Custo {Cost} · cerca de {Footprint} aresta(s)"
"HUD.Placement.MoveCost","Mover custa {Cost} votos · {Result}"
"HUD.Placement.Cancel","Cancelar"
"Refusal.None",""
"Refusal.NoSelection","Nada selecionado"
"Refusal.NotHoveringGrid","Aponte para o tabuleiro"
"Refusal.MatchRefused","Não permitido nesta fase"
"Refusal.NoBudgetLeft","Não sobrou nenhuma para colocar"
"Refusal.OffGrid","Fora do tabuleiro"
"Refusal.CellTaken","Célula já ocupada"
"Refusal.EdgeOnBorder","Não dá para cercar a borda"
"Refusal.EdgeTaken","Já existe uma cerca aqui"
"Refusal.WouldBlockPath","Bloquearia todo caminho até a urna"
"Refusal.ObjectiveMissing","Coloque a urna primeiro"
"Refusal.ObjectiveOutOfZone","A urna fica na zona dela"
"Refusal.SlotTaken","Vaga já ocupada"
"Refusal.TowerCannotGoOnSlot","Torres ficam no chão"
"Refusal.CharacterNeedsPlatform","Personagens precisam de plataforma"
"Refusal.CannotAffordMove","Votos insuficientes para mover"
"HUD.Menu","Menu"
"Pause.Title","Pausado"
"Pause.Continue","Continuar"
"Pause.MainMenu","Menu principal"
